"","B.Code","A.Level.Name","diet_intake_kg","Source"
"1","AG0042","60% F SOPM",0.3125,"feed_intake"
"2","AG0042","60% UF SOPM",0.2977,"feed_intake"
"3","AG0042","Con",0.3124,"feed_intake"
"4","AG0051","NG",8.3,"feed_intake"
"5","AG0051","NGD",8.2,"feed_intake"
"6","AG0051","PG",9.1,"feed_intake"
"7","AG0051","PGD",9.2,"feed_intake"
"8","AN0007","T1",0.3301,"feed_intake"
"9","AN0007","T2",0.32982,"feed_intake"
"10","AN0007","T3",0.34747,"feed_intake"
"11","AN0007","T4",0.3469,"feed_intake"
"12","AN0007","T5",0.34784,"feed_intake"
"13","AN0020","Control T1",0.0503360714285714,"feed_intake"
"14","AN0020","T2",0.0484342857142857,"feed_intake"
"15","AN0020","T3",0.0490296428571429,"feed_intake"
"16","AN0021","U0",0.853,"feed_intake"
"17","AN0021","U10",0.85858,"feed_intake"
"18","AN0021","U15",0.94988,"feed_intake"
"19","AN0021","U20",0.93804,"feed_intake"
"20","AN0057","0 PPL",0.411,"feed_intake"
"21","AN0057","150 PPL",0.513,"feed_intake"
"22","AN0057","300 PPL",0.639,"feed_intake"
"23","AN0057","450 PPL",0.763,"feed_intake"
"24","B01063","Control Diet",0.00478928571428572,"feed_intake"
"25","B01063","PEG0",0.00466071428571429,"feed_intake"
"26","B01063","PEG100",0.00458464285714286,"feed_intake"
"27","B01063","PEG25",0.004925,"feed_intake"
"28","B01063","PEG50",0.00491071428571429,"feed_intake"
"29","B01063","PEG75",0.00475357142857143,"feed_intake"
"30","BO1000","Diet 1",0.66827,"feed_intake"
"31","BO1000","Diet 2",0.70048,"feed_intake"
"32","BO1000","Diet 3",0.74678,"feed_intake"
"33","BO1000","Diet 4",0.77427,"feed_intake"
"34","BO1000","Diet 5",0.82982,"feed_intake"
"35","BO1001","Diet 1",0.696,"feed_intake"
"36","BO1001","Diet 2",0.79133,"feed_intake"
"37","BO1001","Diet 3",0.84056,"feed_intake"
"38","BO1001","Diet 4",0.93141,"feed_intake"
"39","BO1001","Diet 5",1.01572,"feed_intake"
"40","BO1002","Control",1.181,"feed_intake"
"41","BO1002","MA20",1.167,"feed_intake"
"42","BO1002","MA40",1.172,"feed_intake"
"43","BO1005","OSCM",0.865,"feed_intake"
"44","BO1005","TMRL",0.885,"feed_intake"
"45","BO1006","Ration 1",1.1562,"feed_intake"
"46","BO1006","Ration 2",1.3308,"feed_intake"
"47","BO1006","Ration 3",1.10065,"feed_intake"
"48","BO1007","HAK10",0.264,"feed_intake"
"49","BO1007","HAK15",0.337,"feed_intake"
"50","BO1007","HAK20",0.37,"feed_intake"
"51","BO1007","HAK30",0.288,"feed_intake"
"52","BO1008","Control",1.58,"feed_intake"
"53","BO1008","G1",1.55,"feed_intake"
"54","BO1008","G2",1.57,"feed_intake"
"55","BO1009","Diet 1",0.408,"feed_intake"
"56","BO1009","Diet 2",0.423,"feed_intake"
"57","BO1009","Diet 3",0.409,"feed_intake"
"58","BO1009","Diet 4",0.446,"feed_intake"
"59","BO1010","A. dilbata",0.2904,"feed_intake"
"60","BO1010","A. mearnsii",0.2886,"feed_intake"
